±àºÅ,ÆµÂÊ,±êÇ©
0,49.500750268605,1
1,49.506047062338,1
2,49.500221423419,1
3,49.486234474062,0
4,49.502960224213,1
5,49.508531371707,1
6,49.495492332630995,0
7,49.503497655797005,1
8,49.497798429461,0
9,49.501897441639,1
10,49.499176818205996,0
11,49.503464842086004,1
12,49.500078470207995,1
13,49.498344492159006,0
14,49.50660356623,1
15,49.503628937253,1
16,49.494187573431,0
17,49.511247156995,1
18,49.499955911976,0
19,49.490919194255,0
20,49.496548209124,0
21,49.493483277756994,0
22,49.4952757079,0
23,49.504208429536,1
24,49.499447850448,0
25,49.498366261911,0
26,49.503128097750995,1
27,49.500842542867005,1
28,49.503817203954,1
29,49.494891568752,0
30,49.505734653815004,1
31,49.493351609996004,0
32,49.501632893912,1
33,49.501862574824,1
34,49.510697986765,1
35,49.506791504461,1
36,49.506105750300996,1
37,49.49553322131,0
38,49.506078330933,1
39,49.502179957681996,1
40,49.496471765606,0
41,49.50970099560799,1
42,49.499371247983,0
43,49.505646147010005,1
44,49.502240755201996,1
45,49.495928850972994,0
46,49.492001208313,0
47,49.493144020599004,0
48,49.489209968353,0
49,49.505662425428,1
50,49.503222805906,1
51,49.502739687715994,1
52,49.501372257269004,1
53,49.501309112917006,1
54,49.491103884153006,0
55,49.500154438959996,1
56,49.496948259714,0
57,49.499950683678996,0
58,49.493253356637,0
59,49.507921605785,1
60,49.507383077125,1
61,49.493716330141,0
62,49.501446008696,1
63,49.492054749294006,0
64,49.492372091442,0
65,49.50747795987,1
66,49.50280892918801,1
67,49.496720253196,0
68,49.511591435165,1
69,49.502638083128005,1
70,49.495630068056,0
71,49.503879231548005,1
72,49.508770469309,1
73,49.497292109316994,0
74,49.49121329476,0
75,49.503472921211994,1
76,49.498101971792,0
77,49.49719929222201,0
78,49.502948251312,1
79,49.498353525544005,0
80,49.494416010245,0
81,49.504558706686,1
82,49.504093069114,1
83,49.501784458821,1
84,49.491254511695004,0
85,49.503089773004,1
86,49.489919012224,0
87,49.500919994393996,1
88,49.50286569475799,1
89,49.50267626537,1
90,49.4999555408,0
91,49.499107627016,0
92,49.490744779329006,0
93,49.494908611640994,0
94,49.499031086216,0
95,49.500585957336995,1
96,49.49089077291001,0
97,49.50382759775601,1
98,49.503844464314,1
99,49.504123432327006,1
